"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty"," "
"17/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","05.04.2019","",""
"16/2019/VOP","Český telekomunikační úřad","správní delikty / přestupky","Odložení","15.04.2019","",""
"16/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","10.06.2019","",""
"15/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","10.06.2019","",""
"14/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","14.05.2019","",""
"13/2019/NZ","Detence - zařízení sociálních služeb","zařízení sociálních služeb pro seniory","Zpráva z návštěvy zařízení - §21a","09.05.2019","",""
"12/2019/SZD","Správa na úseku zaměstnanosti","aktivní politika zaměstnanosti","Sankce - § 20","26.11.2019","",""
"12/2019/NZ","Detence - ochranná nebo ústavní výchova","dětské domovy","Zpráva z návštěvy zařízení - §21a","03.06.2019","",""
"11/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","14.08.2019","",""
"10/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","14.02.2019","",""
"9/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","14.02.2019","",""
"8/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","20.05.2019","",""
"7/2019/VOP","Úřad pro ochranu osobních údajů, Národní bezpečnostní úřad","ochrana osobních údajů","Zpráva o šetření - § 18","18.06.2019","",""
"6/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","12.03.2019","",""
"5/2019/OZP","Práva osob se zdravotním postižením","politická a občanská práva","Jiné","01.02.2019","",""
"5/2019/NZ","Detence - vězeňská zařízení","ústav pro výkon zabezpečovací detence","Souhrnná zpráva z návštěv zařízení - § 21a","01.02.2019","",""
"4/2019/OZP","Práva osob se zdravotním postižením","přístupnost","Výzkumná zpráva (práva osob se zdravotním postižením) - § 21c","26.09.2019","",""
"4/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","15.05.2019","",""
"4/2019/DIS","Diskriminace - výzkum","výzkum","Výzkumná zpráva (diskriminace) - § 21b","14.05.2019","",""
"3/2019/SZD","Nabývání státního občanství","udělení státního občanství ČR","Sankce - § 20","18.02.2019","I. Šetří-li veřejný ochránce práv postup a rozhodování úřadu, který spadá do působnosti ochránce, je úřad povinen [podle § 15 odst. 2 písm. b) zákona č. 349/1999 Sb., o veřejném ochránci práv] předložit ochránci i podklad rozhodnutí, jehož tvůrce nespadá do působnosti ochránce.   II. Uvedené platí i tehdy, obsahuje-li podklad rozhodnutí utajovanou informaci, neboť ochránce má (podle § 58 odst. 1 a 2 zákona č. 412/2005 Sb., o ochraně utajovaných informací a o bezpečnostní způsobilosti) přístup k utajované informaci všech stupňů utajení, potřebuje-li ji pro výkon své funkce. Bez znalosti obsahu dokumentu, který byl podkladem pro rozhodnutí šetřeného úřadu, by ochránce nemohl prověřit postup úřadu, tedy vykonávat (kontrolní) funkci k jejímuž výkonu je zákonem povolán (§ 1 odst. 1 zákona č. 349/1999 Sb., o veřejném ochránci práv).   ",""
"3/2019/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","13.02.2019","",""
"54324/2018/S","Zdravotnictví","zdravotnictví","Připomínka v legislativním procesu","20.12.2018","",""
"52583/2018/S","Správa na úseku školství","ostatní","Připomínka v legislativním procesu","06.12.2018","",""
"51130/2018/S","Stavby a regionální rozvoj","","Připomínka v legislativním procesu","28.11.2018","",""
"51129/2018/S","Ochrana vod, vodní díla","nakládání s vodami","Připomínka v legislativním procesu","28.11.2018","",""
"47241/2018/S","","","Zpráva sněmovně § 24/1 b)","31.10.2018","",""
"47232/2018/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","31.10.2018","",""
"42766/2018/S","Ostatní oblasti ochrany životního prostředí, činnost Ministerstva zemědělství a Ministerstva životního prostředí","ochrana zvířat proti týrání","Připomínka v legislativním procesu","03.10.2018","",""
"42765/2018/S","Zemědělský půdní fond, lesy, myslivost, rybářství","lesnictví","Připomínka v legislativním procesu","02.10.2018","",""
"33007/2018/S","","","Zpráva sněmovně § 24/1 b)","31.07.2018","",""
"33003/2018/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","31.07.2018","",""
"31930/2018/S","Správa na úseku školství","ostatní","Připomínka v legislativním procesu","23.07.2018","",""
"31929/2018/S","Občanskoprávní věci","občanskoprávní věci","Připomínka v legislativním procesu","20.07.2018","",""
"22380/2018/S","Dávky pomoci v hmotné nouzi","doplatek na bydlení","Připomínka v legislativním procesu","23.05.2018","",""
"22378/2018/S","Dávky státní sociální podpory","příspěvek na bydlení","Připomínka v legislativním procesu","23.05.2018","",""
"22377/2018/S","","","Připomínka v legislativním procesu","22.05.2018","",""
"19346/2018/S","Místní poplatky a řízení o nich","ostatní","Připomínka v legislativním procesu","02.05.2018","",""
"18208/2018/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","24.04.2018","",""
"18208/2018/S","","","Zpráva sněmovně § 24/1 b)","24.04.2018","",""
"12496/2018/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","27.03.2018","",""
"8135/2018/VOP","Ochranné léčení","podmínky pobytu v zařízení","Zpráva o šetření - § 18","23.05.2019","I. Poskytovatel zdravotních služeb by v nejasných případech měl aktivně zjišťovat, zda si pacient přeje, aby jeho podnět upozorňující na nespokojenost s poskytováním zdravotních služeb byl prošetřen jako stížnost, nebo zda mu např. postačí, aby poskytovatel vzal informace na vědomí nebo okamžitě zjednal nápravu. Míra aktivity poskytovatele ve zjišťování, zda pacient trvá na prošetření informací jako stížnosti, by měla nabývat na intenzitě zejména, když poskytuje péči osobám, které mají ztíženou schopnost vyjadřování, nebo kdy se zdánlivě méně významné projevy nespokojenosti pacienta (byť neoznačované za stížnosti) opakují.   II. Poskytovatel zdravotních služeb má k obecným pravidlům obsaženým ve vnitřním řádu přistupovat pouze v nezbytně nutné míře v otázkách týkajících se celého zdravotnického zařízení či jeho oddělení a v takových případech, kdy se řešení prostřednictvím individuálního přístupu ukáže jako neefektivní. Není např. vhodné plošně zakazovat používání soukromého notebooku s připojením na internet, přístup má být znemožněn pouze těm pacientům, u nichž je to nutné s ohledem na jejich léčebný postup, protože notebook využívají k aktivitám rozporným s jejich léčebným plánem. ",""
"8089/2018/VOP","Místní poplatky a řízení o nich","poplatek za komunální odpad","Zpráva o šetření - § 18","15.07.2019","",""
"8031/2018/VOP","Náhradní rodinná péče","zprostředkování osvojení a pěstounské péče","Zpráva o šetření - § 18","24.05.2019","I. Je-li OSPOD kolizním opatrovníkem dítěte se zdravotním postižením (sluchově postižené dítě s kochleárním implantátem) v soudním řízení o  prozatímním svěření do pěstounské péče, kdy existují protichůdné odborné (lékařské) názory na vhodnost svěření dítěte do péče krajským úřadem vybraných pěstounů - osob se stejným zdravotním postižením (osoby bez kochleárního implantátu), měl by OSPOD u soudu uvést a upozornit, že na věc existují  protichůdné odborné názory a že není v kompetenci OSPOD si na odbornou stránku věci učinit vlastní názor. Tím dostojí OSPOD v roli kolizního opatrovníka své povinnosti uvést a objektivně zhodnotit veškeré informace, které má k dispozici.  Jestliže některé informace není schopen objektivně zhodnotit, musí na to soud upozornit, nikoliv se pouze přiklonit k jedné z variant bez dalšího zhodnocení (§ 17 a/ zákona o sociálně-právní ochraně dětí).  II. Nastanou-li pochybnosti o správnosti výběru konkrétních pěstounů pro dítě, měl by krajský úřad, který pěstouny vybral v rámci zprostředkování pěstounské péče, situaci aktivně řešit jednáním s OSPOD, aby se podařilo pochybnosti co nejdříve vyjasnit (ustanovení § 24 odst. 1  zákona o sociálně-právní ochraně dětí).    ",""
"8002/2018/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","umístění dítěte v ústavním zařízení","Zpráva o šetření - § 18","27.02.2019","I. OSPOD by měl ve svém postupu při řešení situace dítěte zohledňovat i jeho ""rodinné"" vazby k ""sociálnímu"" rodiči. Jak definoval Evropský soud pro lidská práva, pojem rodinného života ve smyslu článku 8 Úmluvy o právech dítěte není omezen jen na vztahy mezi rodiči a dětmi, může zahrnovat také faktické ""rodinné"" vazby.",""
"7949/2018/VOP","Nevhodné chování soudních osob","nevhodné chování soudních osob","Odložení","21.01.2019","",""
"7928/2018/VOP","Daně a správa daní","daňová exekuce","Odložení","07.01.2019","",""
"7786/2018/VOP","Správa na úseku zaměstnanosti","ostatní","Zpráva o šetření - § 18","20.01.2020","I. Příspěvek na zřízení pracovního místa pro osobu se zdravotním postižením je účelově určeným příspěvkem, který se poskytuje bezhotovostně převodem na účet příjemce.   II. Účelově určené prostředky nepodléhají výkonu rozhodnutí. Jsou-li exekutorem takové prostředky na účtu postiženy, je třeba podat návrh na částečné zastavení exekuce. ",""
"7781/2018/VOP","Průtahy v soudním řízení","průtahy v řízení - zvláštní případy (návrh na určení lhůty / nezletilci / předběžná opatření / vazební věci)","Zpráva o šetření - § 18","17.01.2020","",""
"7756/2018/VOP","Místní poplatky a řízení o nich","poplatek za komunální odpad","Zpráva o šetření - § 18","24.09.2019","Pokud poplatky nebyly ve lhůtě pro stanovení daně vyměřeny (ač vyměřeny být měly dle § 11 odst. 1 zákona o místních poplatcích) a existence sporné poplatkové povinnosti nebyla ani v jiném řízení věcně přezkoumána, nelze je evidovat v evidenci nedoplatků, a tudíž ani požadovat jejich úhradu (§ 148 a § 149 daňového řádu). Uhrazené poplatky se stávají přeplatkem (§ 154 daňového řádu). Je-li přeplatek vratitelný, obecní úřad jej vrátí na žádost poplatníka (§ 155 daňového řádu). ",""
"7746/2018/VOP","Energetický regulační úřad, Státní energetická inspekce","ostatní","Odložení","03.06.2019","",""
"7712/2018/VOP","Náhradní rodinná péče","náhradní rodinná péče ostatní","Zpráva o šetření - § 18","21.05.2019","I. OSPOD vykonávající poručnictví dítěte je povinen obrátit se na soud s návrhem na schválení rozhodnutí o volbě školy pro dítě. Před tímto krokem musí vhodnost školy projednat s pečující osobou i dítětem a zohlednit případná doporučení školského poradenského zařízení (§ 934 odst. 1 občanského zákoníku, § 16 odst. 9 zákona o předškolním, základním, středním, vyšším odborném a jiném vzdělávání).  II. OSPOD vykonávající poručnictví dítěte je povinen zastoupit dítě v rozhodování o běžných, avšak odkladných zdravotních zákrocích, ke kterým nemůže dát s ohledem na věk souhlas samo dítě. V případě významných zdravotních úkonů, které snesou odkladu, se OSPOD jako poručník dítěte musí obrátit na soud (§ 934 odst. 1 občanského zákoníku, § 42 zákona o zdravotních službách a podmínkách jejich poskytování).   III. Vykonává-li OSPOD poručnictví dítěte, musí s osobami, které mají dítě v péči, aktivně komunikovat, zajímat se o potřeby a zájmy dítěte a snažit se předcházet situacím, ve kterých by pečující osoby zastupovaly dítě v rozporu se zákonem, např. při volbě školy, rozhodnutí o významných lékařských zákrocích apod. (§ 11 odst. 1 písm. b/ a § 11 odst. 5 zákona o sociálně-právní ochraně dětí).   IV. Probíhá-li řízení o jmenování fyzické osoby poručníkem dítěte, k němuž nemá vyživovací povinnost, a zároveň o dané dítě osobně pečuje, považuje se daná osoba od data zahájení řízení až po jeho pravomocné ukončení za osobu pečující o dítě (§ 4a odst. b/ bod 5 zákona o sociálně-právní ochraně dětí).   V. OSPOD podle místa trvalého pobytu osoby pečující o dítě má povinnost této osobě navrhnout uzavření dohody o výkonu pěstounské péče, a to i v případě, že se jedná o osobu pečující o dítě ve smyslu § 4a odst. b) bod 5 zákona o sociálně-právní ochraně dětí (§ 47b zákona o sociálně-právní ochraně dětí).  VI. Osoba pečující o dítě ve smyslu § 4a odst. b) bod 5 zákona o sociálně-právní ochraně dětí má po dobu probíhajícího soudního řízení o ustanovení její osoby poručníkem nárok na dávky pěstounské péče (§ 47e zákona o sociálně-právní ochraně dětí).  ",""
"7693/2018/VOP","Daně a správa daní","dvojí zdanění","Odložení","08.07.2019","",""
"7684/2018/VOP","Správa na úseku podnikání, činnost živnostenských úřadů, ochrana spotřebitele, Česká obchodní inspekce a ostatní působnost  Ministerstva průmyslu a obchodu","ochrana spotřebitele - reklamace","Odložení","28.01.2019","",""
"7639/2018/VOP","Dávky pomoci v hmotné nouzi","rozhodnutí o přeplatku na dávce","Zpráva o šetření - § 18","13.05.2019","",""
"7622/2018/VOP","Dozor nad peněžními ústavy, cenová regulace a ostatní působnost Ministerstva financí","dozor nad pojišťovnami","Zpráva o šetření - § 18","29.04.2019","",""
"7552/2018/VOP","Činnost Vězeňské služby ČR","nevhodné jednání pracovníků Vězeňské služby ČR, zdravotní péče","Zpráva o šetření - § 18","30.10.2019","",""
"7546/2018/VOP","Činnost Vězeňské služby ČR","styk s vnějším světem (realizace návštěv, bezkontaktní návštěvy)","Zpráva o šetření - § 18","04.01.2019","I. Při využívání jednotlivých institutů pobytu odsouzených mimo věznici musí být k odsouzeným přistupováno individuálně.  II. Při hodnocení bezpečnostních rizik by měla věznice vycházet především z chování odsouzeného a z hodnocení vypracovaných odbornými zaměstnanci, kteří s odsouzeným pracují.  III. Rozhodnutí ředitele o návrhu na přerušení trestu musí být, s ohledem na požadavky přezkoumatelnosti a vyloučení svévole, řádně odůvodněno.",""
"7546/2018/VOP","Činnost Vězeňské služby ČR","styk s vnějším světem (realizace návštěv, bezkontaktní návštěvy)","Závěrečné stanovisko - § 19","02.05.2019","I. Při využívání jednotlivých institutů pobytu odsouzených mimo věznici musí být k odsouzeným přistupováno individuálně.  II. Při hodnocení bezpečnostních rizik by měla věznice vycházet především z chování odsouzeného a z hodnocení vypracovaných odbornými zaměstnanci, kteří s odsouzeným pracují.  III. Rozhodnutí ředitele o návrhu na přerušení trestu musí být, s ohledem na požadavky přezkoumatelnosti a vyloučení svévole, řádně odůvodněno.",""
"7546/2018/VOP","Činnost Vězeňské služby ČR","styk s vnějším světem (realizace návštěv, bezkontaktní návštěvy)","Sankce - § 20","12.07.2019","",""
"7513/2018/VOP","Pobyt cizinců","povolení k trvalému pobytu","Odložení","05.02.2019","",""
"7479/2018/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","postup OSPOD jako kolizního opatrovníka","Zpráva o šetření - § 17","08.08.2019","Jedině soud by ve svém rozhodnutí mohl jako zvláštní podmínku styku rodiče s dítětem určit, že k předávání a přebírání dítěte jsou povinni či oprávněni výlučně matka či otec. Neurčí-li soud v rozhodnutí takovou podmínku, je třeba vycházet z toho, že péči o dítě, jakož i další složky rodičovské odpovědnosti mohou rodiče svěřit jiné osobě, což zahrnuje i situace, kdy je dítě předáváno a přebíráno ke a ze styku s rodičem. ",""
"7447/2018/VOP","Pobyt cizinců","povolení k trvalému pobytu","Zpráva o šetření - § 18","19.02.2019","Byla-li proti rozhodnutí Ministerstva vnitra o neprodloužení doplňkové ochrany podána správní žaloba, jsou veškeré účinky napadeného správního rozhodnutí pozastaveny až do skončení řízení před soudem (§ 32 odst. 2 zákona č. 325/1999 Sb. o azylu, ve znění pozdějších předpisů). Na osobu, která v příslušné lhůtě požádá o prodloužení doplňkové ochrany a která se proti zamítavému správnímu rozhodnutí o této žádosti brání žalobou, se proto i v době probíhajícího soudního řízení vztahuje fikce platnosti doplňkové ochrany (§ 53a odst. 5 ve spojení s § 32 odst. 2 citovaného zákona). Na tuto osobu je tudíž nutno hledět jako na osobu požívající doplňkové ochrany, nikoli jako na žadatele o mezinárodní ochranu.",""
"7432/2018/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","postup OSPOD jako kolizního opatrovníka","Závěrečné stanovisko - § 19","10.10.2019","",""
"7432/2018/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","postup OSPOD jako kolizního opatrovníka","Zpráva o šetření - § 18","05.03.2019","",""
"7353/2018/VOP","Daně a správa daní","daňová kontrola ","Odložení","04.03.2019","I. Předmětem samostatného šetření veřejného ochránce práv v rámci probíhající daňové kontroly budou zpravidla pouze podněty zpochybňující zákonnost zahájení daňové kontroly, směřující proti nevhodnému jednání úředních osob, směřující proti odepření práva nahlížet do spisu nebo směřující proti nečinnosti správce daně. Stěžovatel by měl k podnětu doložit doklad o tom, že neúspěšně vyzval správce daně k nápravě (§ 11 odst. 1 písm. c) zákona č. 349/1999 Sb., o veřejném ochránci práv).  II. Úkony správce daně v rámci daňové kontroly, jež směřují k vydání rozhodnutí ve věci samé a úzce souvisejí s otázkou zákonnosti tohoto rozhodnutí, bude veřejný ochránce práv zpravidla prověřovat až poté, co daňový subjekt nedosáhne nápravy v odvolacím řízení.  ",""
"7315/2018/VOP","Diskriminace - práce a zaměstnání","ukončení zaměstnávání","Zpráva o šetření - § 18","23.03.2020","",""
"7279/2018/VOP","Dávky pomoci v hmotné nouzi","ostatní","Zpráva o šetření - § 18","11.02.2019","",""
"7107/2018/VOP","Činnost Vězeňské služby ČR","šikana, zdravotní péče","Zpráva o šetření - § 18","17.10.2019","",""
"7085/2018/VOP","Rozhodnutí o správním vyhoštění","rozhodnutí o správním vyhoštění","Zpráva o šetření - § 18","29.05.2019","",""
"7005/2018/VOP","Dávky pomoci v hmotné nouzi","doplatek na bydlení","Zpráva o šetření - § 18","04.02.2019","",""
"7005/2018/VOP","Dávky pomoci v hmotné nouzi","doplatek na bydlení","Závěrečné stanovisko - § 19","25.04.2019","",""
"7005/2018/VOP","Dávky pomoci v hmotné nouzi","doplatek na bydlení","Sankce - § 20","26.06.2019","",""
"6950/2018/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","umístění dítěte v ústavním zařízení","Zpráva o šetření - § 18","03.12.2019","I. Ačkoli mají rodiče právo na kontakt se svými dětmi i po jejich umístění do náhradní péče, soud může kontakt omezit či zakázat. Je-li to v konkrétním případě důvodné a žádoucí (v zájmu dítěte), musí OSPOD dát k takovému zásahu soudu podnět či doporučení opírajíce se o svá zjištění a zkušenosti s rodinou.  II. OSPOD musí při zasahování do práva na rodinný život vycházet z minimalizace takového zásahu, resp. musí co nejvíce šetřit podstatu a smysl tohoto práva, proto musí každý případ posuzovat striktně individuálně. Je-li v rodině více sourozenců a má-li každé dítě ke každému rodiči výrazně odlišný vztah, musí OSPOD u každého dítěte zvažovat odlišné možnosti úpravy kontaktu.  III. OSPOD musí rodiče a děti po jejich rozdělení aktivně podporovat v jejich brzkém kontaktu.",""
"6938/2018/VOP","Průtahy v soudním řízení","průtahy v řízení - ostatní","Zpráva o šetření - § 18","15.01.2019","",""
"6935/2018/VOP","Průtahy v soudním řízení","průtahy v řízení - ostatní","Zpráva o šetření - § 18","15.01.2019","",""
"6827/2018/VOP","Daně a správa daní","DPH","Zpráva o šetření - § 18","13.08.2019","",""
"6809/2018/VOP","Dávky pomoci v hmotné nouzi","doplatek na bydlení","Zpráva o šetření - § 18","08.07.2019","Úřad práce není oprávněn při stanovení výše doplatku na bydlení krátit odůvodněné náklady na bydlení za dny, po které příjemce doplatku v ubytovně krátkodobě z objektivních důvodů (např. hospitalizace) nebydlel.",""
"6783/2018/VOP","Činnost Vězeňské služby ČR","kázeňský trest / odměna","Zpráva o šetření - § 18","07.08.2019","I. Uzamykání na cele 22 hodin denně s tím, že po uvedenou dobu je odsouzený sám, se již blíží samovazbě. Při zneužití tohoto institutu může dojít k porušení zákazu špatného zacházení (čl. 7 odst. 2 Listiny základních práv a svobod a čl. 3 Úmluvy o ochraně lidských práv a základních svobod).  II. Prodloužení uzamykání odsouzených v celách je dovoleno řádem výkonu trestu odnětí svobody (č. 345/1999 Sb.) v § 50 odst. 2 jako výjimečné opatření pro zachování pořádku a bezpečnosti ve věznici. Je tedy zneužito, pokud slouží jako dodatečný trest u odsouzeného, který nespolupracuje s orgány věznice při objasňování kázeňského přestupku.  III. Z povinnosti odsouzeného oznámit neprodleně zaměstnanci Vězeňské služby okolnosti, které mohou způsobit vážné ohrožení bezpečnosti jemu samotnému, spoluodsouzeným, zaměstnancům Vězeňské služby nebo věznici, pokud se o nich dozví nebo je zjistil [§ 28 odst. 2 písm. f) zákona č. 169/1999 Sb., o výkonu trestu odnětí svobody, ve znění pozdějších předpisů], nelze dovodit jeho povinnost jako podezřelého vypovídat v kázeňském řízení. Představovalo by to porušení ústavně zakotveného zákazu sebeobviňování a nucené výpovědi.   ",""
"6731/2018/VOP","Činnost Vězeňské služby ČR","ostatní","Zpráva o šetření - § 18","06.02.2019","I. Pro společnost je užitečnější, když vězeň svůj trest zasvětí smysluplné činnosti namísto toho, aby jej odpykal omezeným pozorováním světa skrze mříže vězeňské cely.  II. Každý vězeňský ústav musí usilovat o to, aby všichni vězni měli přístup ke vzdělávacím programům, které budou co možná nejkomplexnější a budou uspokojovat jejich individuální potřeby a brát v potaz jejich ambice.",""
"6731/2018/VOP","Činnost Vězeňské služby ČR","ostatní","Závěrečné stanovisko - § 19","24.06.2019","",""
"6729/2018/VOP","Náhradní rodinná péče","náhradní rodinná péče ostatní","Zpráva o šetření - § 18","29.05.2019","I. Povinnost OSPOD vést pěstouny k udržování a rozvíjení kontaktu dítěte s rodiči se vztahuje i na případy, kdy jsou rodiče umístěni ve výkonu trestu odnětí svobody. OSPOD nemůže ponechávat tuto otázku pouze na úvaze pěstounů (§ 47a odst. 2 písm. h/ zákona o sociálně-právní ochraně dětí).   II. Skutečnosti, že rodiče nastoupili do výkonu trestu odnětí svobody, by měl OSPOD přizpůsobit individuální plán ochrany dítěte (§ 10 odst. 3 písm. d/ zákona o sociálně-právní ochraně dětí).   ",""
"6637/2018/VOP","Přestupky v oblasti dopravy","přestupky v oblasti dopravy","Zpráva o šetření - § 18","14.01.2019","I. Podkladem pro zápis bodů do registru řidičů může být toliko rozhodnutí příslušného orgánu veřejné moci (§123b odst. 2 zákona č. 361/2000 S., o provozu na pozemních komunikacích). Případné nedostatky blokové pokuty, coby takového podkladu, nemohou být zhojeny obsahem oznámení o uložení blokové pokuty.    II. Má-li být na základě blokové pokuty zapsán do bodového hodnocení řidiče patřičný počet bodů, musí z ní samotné být jednoznačně zřejmé, jakého jednání se přestupce dopustil a zda toto jednání bodovému hodnocení podléhá (Příloha zákona č. 361/2000 S., o provozu na pozemních komunikacích).  ",""
"6637/2018/VOP","Přestupky v oblasti dopravy","přestupky v oblasti dopravy","Závěrečné stanovisko - § 19","06.03.2019","I. Podkladem pro zápis bodů do registru řidičů může být toliko rozhodnutí příslušného orgánu veřejné moci (§123b odst. 2 zákona č. 361/2000 S., o provozu na pozemních komunikacích). Případné nedostatky blokové pokuty, coby takového podkladu, nemohou být zhojeny obsahem oznámení o uložení blokové pokuty.    II. Má-li být na základě blokové pokuty zapsán do bodového hodnocení řidiče patřičný počet bodů, musí z ní samotné být jednoznačně zřejmé, jakého jednání se přestupce dopustil a zda toto jednání bodovému hodnocení podléhá (Příloha zákona č. 361/2000 S., o provozu na pozemních komunikacích).  ",""
"6543/2018/VOP","Správa pozemních komunikací","existence komunikace","Zpráva o šetření - § 18","06.03.2019","",""
"6543/2018/VOP","Správa pozemních komunikací","existence komunikace","Sankce - § 20","15.10.2019","",""
"6543/2018/VOP","Správa pozemních komunikací","existence komunikace","Závěrečné stanovisko - § 19","15.07.2019","",""
"6531/2018/VOP","Správa na úseku zaměstnanosti","ostatní","Závěrečné stanovisko - § 19","20.01.2020","",""
"6531/2018/VOP","Správa na úseku zaměstnanosti","ostatní","Zpráva o šetření - § 18","12.06.2019","I. V rámci aktivní politiky zaměstnanosti rozhoduje úřad práce o žádosti o pracovní rehabilitaci (§ 69 zákona o zaměstnanosti) ve správním řízení, které je zahájeno podáním žádosti. Dohoda o zabezpečení pracovní rehabilitace, uzavřená s uchazečem o zaměstnání, je veřejnoprávní smlouva, která nahrazuje kladné rozhodnutí o žádosti. Pokud žádosti není vyhověno, musí úřad práce vydat zamítavé rozhodnutí (§ 67 správního řádu).   II. Za účelem posouzení vhodné formy pracovní rehabilitace je úřad práce povinen jmenovat členy odborných pracovních skupin tak, aby většinu tvořili zástupci organizací lidí s postižením a zaměstnavatelé zaměstnávající více než 50 % lidí s postižením (§ 7 odst. 3 zákona o zaměstnanosti). Ti jsou totiž nejvíce povoláni k tomu, aby z hlediska zkušenosti z praxe uměli posoudit vhodnost a přínos požadované formy pracovní rehabilitace v tom kterém konkrétním případě.  III. Úřad práce je povinen vést informace o složení odborné pracovní skupiny přímo ve spise žadatele o pracovní rehabilitaci, do něhož je oprávněn žadatel nahlížet podle § 38 správního řádu.  IV. Pokud úřad práce neinformuje žadatele o pracovní rehabilitaci o možnosti účasti na jednání odborné pracovní skupiny, porušuje princip vstřícnosti.  ",""
"6520/2018/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","odebrání dítěte z péče","Zpráva o šetření - § 18","14.11.2018","I. Nedostatečné bytové a materiální podmínky rodiny nemohou být samy o sobě důvodem k odebrání dítěte z péče rodičů (§ 871 odst. 3 občanského zákoníku a § 14 odst. 3 písm. b/ zákona o sociálně-právní ochraně dětí).  II. Města by měla mít k dispozici bytový fond, který by jejich občanům, zejména rodinám s dětmi, pomohl překlenout nelehké životní situace.",""
"6517/2018/VOP","Katastr nemovitostí - zápisy práv","vklad práva do katastru nemovitostí","Zpráva o šetření - § 18","14.01.2019","Došlo-li k odkladu právní moci rozsudku soudu, na jehož základě katastrální úřad zahájil vkladové řízení, rozsudek přestal být listinou, na jejímž základě by mohl katastrální úřad vklad povolit. Katastrální úřad totiž musí vklad zamítnout, pokud rozhodnutí soudu není pravomocné. Jelikož účinky odkladu právní moci nastávají ex tunc, na věci nic nemění skutečnost, že katastrální úřad v řízení o povolení vkladu zkoumá rozhodnutí soudu podle stavu, jaký byl v okamžiku jeho doručení (§ 17 odst. 5 zákona č. 256/2013 Sb., o katastru nemovitostí).",""
"6460/2018/VOP","Správa na úseku podnikání, činnost živnostenských úřadů, ochrana spotřebitele, Česká obchodní inspekce a ostatní působnost  Ministerstva průmyslu a obchodu","ochrana spotřebitele - obchodní praktiky","Zpráva o šetření - § 18","21.05.2019","",""
"6433/2018/VOP","Náhradní rodinná péče","dávky pěstounské péče","Zpráva o šetření - § 18","08.03.2019","I. OSPOD má povinnost dostatečně odůvodnit své vyjádření pro účely přiznání odměny pěstouna prarodiči, zda se jedná o případ hodný zvláštního zřetele, obzvláště pokud se jeho názor od předchozího posouzení případu změnil (podle § 47j odst. 3 zákona o sociálně-právní ochraně dětí).   II. Úřad práce a ministerstvo práce a sociálních věcí by měly v rozhodnutí o přiznání odměny pěstouna či v rozhodnutí o odvolání náležitě zdůvodnit a vysvětlit změnu posouzení oproti předchozímu rozhodnutí.  ",""
"6413/2018/VOP","Daně a správa daní","daňová exekuce","Zpráva o šetření - § 18","03.09.2019","Správce daně by měl v řízení o posečkání úhrady daně (§ 156 daňového řádu) informovat daňový subjekt o možném neunesení důkazního břemene, je-li takový postup účelný s přihlédnutím k historii daňového subjektu a jeho povaze, k dosavadní spolupráci a komunikaci se správcem daně a dalším okolnostem případu, a to na základě zásad vstřícnosti, hospodárnosti a spolupráce. Skutečnost, že daňový řád nestanoví správci daně povinnost vyzvat daňový subjekt k doložení důkazních prostředků, takový postup nevylučuje.",""
"6302/2018/VOP","Správa na úseku zaměstnanosti","aktivní politika zaměstnanosti","Zpráva o šetření - § 18","18.04.2019","V rámci aktivní politiky zaměstnanosti rozhoduje úřad práce o žádosti o příspěvek na regionální mobilitu - příspěvek na dojížďku ve správním řízení, které je zahájeno podáním žádosti.  ",""
